LABEL,ID,TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME
ID2008,2008,0,51.71864216,56.26846085,2,0,0
ID2000,2000,0,52.12009675,53.72591511,2,1,1
ID2018,2018,1,51.7730058,57.47700644,2,0,0
ID2002,2002,1,52.52155134,55.53246077,2,1,1
ID2028,2028,2,51.17500573,54.67100612,3,0,0
ID2026,2026,2,51.12900573,51.95700582,3,1,1
ID2042,2042,3,50.8990057,59.31700664,2,0,0
ID2040,2040,3,52.23300585,57.1090064,2,1,1
ID2111,2111,8,52.09500583,53.06100594,3,0,0
ID2113,2113,8,52.41700587,50.71500568,3,1,1
ID2146,2146,11,54.71700613,54.94700615,3,0,0
ID2148,2148,11,55.59100623,52.50900588,3,1,1
ID2167,2167,12,55.47600621,51.7845058,4,0,0
ID2165,2165,12,56.51100633,49.36950553,4,1,1
ID2170,2170,13,52.12950584,50.8875057,3,0,0
ID2173,2173,13,52.92300593,47.64450534,3,1,1
ID2199,2199,14,55.99350627,49.19700551,4,0,0
ID2197,2197,14,56.82150636,46.16100517,4,1,1
ID2201,2201,15,55.75200624,50.8530057,5,0,0
ID2204,2204,15,57.82200648,48.05850538,4,1,1
ID2215,2215,16,56.02800628,47.19600529,4,0,0
ID2213,2213,16,56.58000634,44.47050498,4,1,1
ID2230,2230,18,52.99200594,42.02100471,4,0,0
ID2232,2232,18,53.544006,40.67550456,5,1,1
ID2260,2260,20,53.37150598,40.64100455,4,0,0
ID2257,2257,20,53.50950599,38.15700427,4,1,1
ID2280,2280,21,53.02650594,39.05400437,5,0,0
ID2278,2278,21,52.47450588,36.50100409,6,1,1
ID2292,2292,22,49.79500558,26.97900302,11,0,0
ID2294,2294,22,49.05900549,25.64500287,12,1,1
ID2306,2306,23,42.29700474,18.60700208,15,0,0
ID2308,2308,23,41.69900467,16.76700188,18,1,1
ID2332,2332,24,49.1050055,25.69100288,12,0,0
ID2330,2330,24,48.09300539,23.94300268,12,1,1
ID2336,2336,25,44.27500496,20.76900233,15,0,0
ID2338,2338,25,43.99900493,18.7910021,17,1,1
ID2348,2348,26,55.13100617,27.16300304,10,0,0
ID2350,2350,26,54.85500614,26.01300291,11,1,1
ID2387,2387,27,52.23300585,24.81700278,11,0,0
ID2384,2384,27,51.95700582,23.11500259,12,1,1
ID2391,2391,28,53.84300603,26.47300296,10,0,0
ID2393,2393,28,53.06100594,24.03500269,11,1,1
ID2409,2409,30,51.17500573,23.2530026,13,0,0
ID2411,2411,30,51.22100574,21.4590024,13,1,1
ID2417,2417,31,46.71300523,15.57100174,17,0,0
ID2419,2419,31,45.37900508,14.2830016,19,1,1
ID2440,2440,32,46.48300521,13.50100151,17,0,0
ID2437,2437,32,45.05700505,12.30500138,19,1,1
ID2443,2443,33,42.57300477,14.00700157,17,0,0
ID2446,2446,33,40.96300459,12.71900142,19,1,1
ID2472,2472,35,45.09464141,43.68955035,2,0,0
ID2469,2469,35,45.09464141,40.41100453,2,1,1
ID2515,2515,38,41.6822774,43.28809576,2,0,0
ID2510,2510,38,41.4815501,40.07645903,2,1,1
ID2530,2530,40,41.21391371,41.08009551,2,0,0
ID2528,2528,40,40.41100453,37.4670042,2,1,1
ID2623,2623,49,44.09100494,31.84663993,4,0,0
ID2625,2625,49,43.22118666,30.84300345,4,1,1
ID2680,2680,52,43.82336854,34.79064026,3,0,0
ID2677,2677,52,44.49245953,34.25536747,3,1,1
ID2683,2683,53,39.34045895,29.0364578,6,0,0
ID2685,2685,53,39.27354985,27.36373034,6,1,1
ID2706,2706,55,43.22118666,28.43427591,6,0,0
ID2708,2708,55,42.28445928,26.02554837,6,1,1
ID2747,2747,56,36.79791321,19.86991132,8,0,0
ID2724,2724,56,35.05827665,17.66191107,9,1,1
ID2749,2749,57,37.66773149,21.81027517,8,0,0
ID2731,2731,57,35.66045854,19.40154763,9,1,1
ID2762,2762,58,33.38554919,22.68009345,9,0,0
ID2760,2760,58,31.64591264,20.13754771,9,1,1
ID2776,2776,59,40.61173182,19.66918402,8,0,0
ID2767,2767,59,39.07282256,17.26045648,8,1,1
ID2786,2786,60,39.67500444,18.46482025,7,0,0
ID2784,2784,60,37.1324587,14.45027435,9,1,1
ID2795,2795,61,34.79064026,16.72518369,9,0,0
ID2788,2788,61,32.78336731,14.85172894,10,1,1
ID2814,2814,63,34.25536747,13.24591057,9,0,0
ID2816,2816,63,31.77973083,11.64009221,11,1,1
ID2850,2850,65,36.46336772,10.83718303,10,0,0
ID2848,2848,65,34.18845837,9.030637375,11,1,1
