LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2306,2306,23,-1,42.29700474,18.60700208,15,0,0,5,1,r=11;g=11;b=0,89.79235054,70.02709961,36.48540115,655.1083984,2809333.271,62.70043972,0.050696687,0.138197747
ID2440,2440,32,-1,46.48300521,13.50100151,17,0,0,5,1,r=11;g=11;b=0,103.9702304,72.09438324,34.423069,743.7838745,3252916.598,83.11133221,0.146780615,0.320233764
ID2762,2762,58,-1,33.38554919,22.68009345,9,0,0,5,1,r=11;g=12;b=0,62.41382248,58.31814194,36.29723358,366.1511536,1952741.264,20.76485378,-0.169576225,-1.227572326
ID2443,2443,33,-1,42.57300477,14.00700157,17,0,0,5,1,r=11;g=11;b=0,114.015277,81.02618408,35.08844376,743.7838745,3567195.973,85.52727928,0.17669575,0.400359654
ID2706,2706,55,-1,43.22118666,28.43427591,6,0,0,5,1,r=11;g=12;b=0,112.6255852,68.01908112,28.42258263,1332.076294,3523716.684,124.1969396,0.181906081,0.279138932
ID2834,2834,64,-1,37.1993678,13.98191066,9,0,0,5,1,r=11;g=12;b=0,106.1073712,74.98775482,33.61425018,908.3496704,3319781.324,89.8891632,0.151227825,0.310126331
ID2387,2387,27,-1,52.23300585,24.81700278,11,0,0,5,1,r=11;g=11;b=0,102.0015307,80.13511658,36.41091919,466.1111755,3191321.892,59.89856277,0.133341466,0.40070497
ID2515,2515,38,-1,41.6822774,43.28809576,2,0,0,5,1,r=11;g=12;b=0,200.230004,102.2935257,28.57432556,1411.978394,6264596.136,214.046412,0.373798399,0.509056082
ID2260,2260,20,-1,53.37150598,40.64100455,4,0,0,5,1,r=11;g=11;b=0,110.2680237,77.94197083,35.75930405,767.0274048,3449955.657,82.54386777,0.105509434,0.254990272
ID2199,2199,14,-1,55.99350627,49.19700551,4,0,0,5,1,r=11;g=11;b=0,139.3782032,103.3119736,35.73439026,928.9164429,4360725.843,104.4250479,0.186773983,0.420115338
ID2391,2391,28,-1,53.84300603,26.47300296,10,0,0,5,1,r=11;g=11;b=0,104.1385087,83.01348114,35.32178116,466.1111755,3258181.52,59.92228321,0.12830262,0.395241851
ID2008,2008,0,-1,51.71864216,56.26846085,2,0,0,5,1,r=11;g=11;b=0,130.0476403,99.35484314,34.75065994,672.7228394,4068800.522,86.88425435,0.093184457,0.255176939
ID2776,2776,59,-1,40.61173182,19.66918402,8,0,0,5,1,r=11;g=12;b=0,102.0914662,74.30610657,30.45033646,908.3496704,3194135.703,83.74396231,0.141715208,0.302638799
ID2201,2201,15,-1,55.75200624,50.8530057,5,0,0,5,1,r=11;g=11;b=0,130.7590409,91.97267151,35.26665497,928.9164429,4091058.113,101.6989749,0.148817077,0.333109511
ID2457,2457,34,-1,41.56100465,12.67300142,20,0,0,5,1,r=11;g=11;b=0,117.4503071,81.3237381,41.63101578,804.9117432,3674667.758,90.46869865,0.222686893,0.472895529
ID2332,2332,24,-1,49.1050055,25.69100288,12,0,0,5,1,r=11;g=11;b=0,98.03788422,76.89419556,36.41091919,538.7794189,3067311.284,58.72734855,0.137848155,0.404482913
ID2336,2336,25,-1,44.27500496,20.76900233,15,0,0,5,1,r=11;g=11;b=0,91.71063004,71.17235565,36.48540115,600.0343628,2869350.482,62.61090625,0.078778903,0.213932697
ID2018,2018,1,-1,51.7730058,57.47700644,2,0,0,5,1,r=11;g=11;b=0,132.684472,99.21075439,35.46677399,672.7228394,4151299.074,90.37472559,0.100234931,0.267507999
ID2146,2146,11,-1,54.71700613,54.94700615,3,0,0,5,1,r=11;g=11;b=0,136.8231085,103.4086075,34.75065994,907.0568237,4280784.595,97.33021573,0.141560005,0.348645118
ID2530,2530,40,-1,41.21391371,41.08009551,2,0,0,5,1,r=11;g=12;b=0,197.1881281,96.92380524,30.56038666,1779.635132,6169424.964,216.7933632,0.351147226,0.472771562
ID2786,2786,60,-1,39.67500444,18.46482025,7,0,0,5,1,r=11;g=12;b=0,100.396098,72.26389313,30.45033646,908.3496704,3141092.719,85.53566244,0.135105795,0.279406975
ID2850,2850,65,-1,36.46336772,10.83718303,10,0,0,5,1,r=11;g=12;b=0,105.153122,74.50286102,32.36315155,842.5737915,3289925.729,88.69181933,0.147732577,0.305213801
ID2215,2215,16,-1,56.02800628,47.19600529,4,0,0,5,1,r=11;g=11;b=0,142.3235139,105.2275543,35.73439026,928.9164429,4452875.778,107.411712,0.210376454,0.460608214
ID2280,2280,21,-1,53.02650594,39.05400437,5,0,0,5,1,r=11;g=11;b=0,101.6670225,68.12521362,35.75930405,634.4574585,3180856.134,75.24708089,0.075148914,0.188875024
ID2472,2472,35,-1,45.09464141,43.68955035,2,0,0,5,1,r=11;g=12;b=0,177.8760028,87.21929169,32.24163437,1319.651489,5565206.501,198.4953729,0.306840172,0.420810639
ID2409,2409,30,-1,51.17500573,23.2530026,13,0,0,5,1,r=11;g=11;b=0,97.60014475,75.81946564,38.0536232,538.7794189,3053615.729,58.18331717,0.118636862,0.355805375
ID2218,2218,17,-1,52.92300593,46.85100525,4,0,0,5,1,r=11;g=11;b=0,114.170526,80.80857086,35.73439026,767.0274048,3572053.245,89.24959031,0.055162068,0.133751645
ID2603,2603,47,-1,41.28082281,38.00227698,3,0,0,5,1,r=11;g=12;b=0,179.2357145,91.63327789,20.62426949,1779.635132,5607747.798,209.2241236,0.289118541,0.38426062
ID2795,2795,61,-1,34.79064026,16.72518369,9,0,0,5,1,r=11;g=12;b=0,98.52150569,69.04051208,34.02341461,908.3496704,3082442.349,84.7191684,0.131862598,0.270961302
ID2028,2028,2,-1,51.17500573,54.67100612,3,0,0,5,1,r=11;g=11;b=0,127.0211244,95.47325134,34.75065994,1120.753662,3974109.919,89.79147878,0.083281346,0.217509032
ID2348,2348,26,-1,55.13100617,27.16300304,10,0,0,5,1,r=11;g=11;b=0,109.9647359,86.96765137,34.55987549,507.9058228,3440466.693,64.2450391,0.150573512,0.448000028
ID2863,2863,66,-1,33.92082198,11.17172852,10,0,0,5,1,r=11;g=12;b=0,107.3819248,73.93806458,32.36315155,842.5737915,3359658.281,90.48556096,0.16936222,0.343755279
ID2417,2417,31,-1,46.71300523,15.57100174,17,0,0,5,1,r=11;g=11;b=0,100.1225745,71.88115692,35.08844376,708.9865112,3132534.988,78.78772217,0.137291679,0.306814452
ID2292,2292,22,-1,49.79500558,26.97900302,11,0,0,5,1,r=11;g=11;b=0,96.98894942,74.92926025,36.41091919,466.1111755,3034493.26,58.22026379,0.124031022,0.367646222
ID2230,2230,18,-1,52.99200594,42.02100471,4,0,0,5,1,r=11;g=11;b=0,106.7511462,73.0595932,35.75930405,767.0274048,3339923.111,84.90329579,0.061097897,0.144793411
ID2167,2167,12,-1,55.47600621,51.7845058,4,0,0,5,1,r=11;g=11;b=0,133.2992628,98.62795258,34.75065994,928.9164429,4170534.034,99.63624405,0.145204008,0.33926272
