LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(frame),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2241,2241,2,-1.0,38.801004345712485,32.223003608976406,9.0,0.0,0,5.0,1,r=11;g=11;b=0,175.58437358742077,68.74263000488281,15.248160362243652,2200.33349609375,5493508.296429634,273.5264090575583,0.4455928164488831,0.3957389468207553
ID2369,2369,27,-1.0,25.093002810416312,20.815002331280258,12.0,0.0,0,5.0,1,r=11;g=11;b=0,158.30946259384748,59.78538131713867,16.429533004760742,2188.861083984375,4953028.156173706,249.11382659886678,0.39881003518493746,0.362365110454472
ID2433,2433,33,-1.0,18.92900212004824,13.915001558480174,14.0,0.0,0,5.0,1,r=11;g=11;b=0,137.58457893971215,59.77713394165039,14.776710510253906,1521.79443359375,4304608.721286774,197.03503410751992,0.3789193520670339,0.3837639898806916
ID2182,2182,15,-1.0,52.37100586555266,42.98700481454454,5.0,0.0,0,5.0,1,r=11;g=11;b=0,153.73652334993886,57.45832443237305,14.330191612243652,3360.68798828125,4809954.606049538,270.5583056666272,0.3335218996348215,0.2842303070031197
ID2312,2312,22,-1.0,33.51100375323242,21.64300242401627,11.0,0.0,0,5.0,1,r=11;g=11;b=0,142.46947346153678,55.81171417236328,15.765369415283203,1806.9990234375,4457442.416191101,215.29729948621772,0.34696483020357566,0.34091211210395755
ID2378,2378,28,-1.0,24.35700272798431,18.79100210459224,12.0,0.0,0,5.0,1,r=11;g=11;b=0,177.04936319082287,70.64335632324219,14.776710510253906,2188.861083984375,5539343.426151276,266.12611450800205,0.4604453497787663,0.4194977660968429
ID2506,2506,,-1.0,45.01100504123257,36.547004093264455,8.0,0.0,0,5.0,1,r=11;g=11;b=0,195.20720001703774,65.49417877197266,11.760361671447754,3596.56103515625,6107447.66693306,338.17436597926223,0.46373143391865074,0.3657550062952096
ID2509,2509,,-1.0,48.967005484304615,36.455004082960464,8.0,0.0,0,5.0,1,r=11;g=11;b=0,185.1580162924073,59.109901428222656,11.68228816986084,3596.56103515625,5793038.855740547,353.26707043593433,0.4458021186063387,0.3232232772389202
ID2126,2126,10,-1.0,50.669005674928634,37.78900423236848,7.0,0.0,0,5.0,1,r=11;g=11;b=0,192.04600724699353,61.45814895629883,11.68228816986084,3596.56103515625,6008543.428736687,357.0443722161095,0.47507988379840843,0.3464688440629348
ID2000,2000,0,-1.0,40.68700455694451,35.99500403144045,8.0,0.0,0,5.0,1,r=11;g=11;b=0,159.4960511270037,54.45199203491211,16.154964447021484,2200.33349609375,4990152.951610565,267.1005590638722,0.3789117475968457,0.3281759357638667
ID2065,2065,4,-1.0,44.82700502062456,34.61500387688044,7.0,0.0,0,5.0,1,r=11;g=11;b=0,207.06811691926973,70.44983673095703,12.692951202392578,3596.56103515625,6478540.174053192,346.9735620533932,0.4874460555458232,0.39113995470610047
ID2130,2130,11,-1.0,52.18700584494465,38.939004361168486,5.0,0.0,0,5.0,1,r=11;g=11;b=0,176.5880761220463,63.643280029296875,11.68228816986084,3360.68798828125,5524911.137630463,300.7249761472111,0.40899588710185025,0.3409032071101496
ID2258,2258,18,-1.0,37.05300414993647,30.88900345956839,10.0,0.0,0,5.0,1,r=11;g=11;b=0,157.87519046092615,57.274932861328125,13.11508846282959,2200.33349609375,4939441.083950996,262.22110782805913,0.4064481826814252,0.3479827253708944
ID2450,2450,35,-1.0,24.817002779504314,14.053001573936177,12.0,0.0,0,5.0,1,r=11;g=11;b=0,143.67686167841435,51.059593200683594,14.776710510253906,2188.861083984375,4495217.97133255,248.72470850922466,0.3642468001167639,0.3084613107211319
ID2069,2069,5,-1.0,43.447004866064546,32.95900369140842,7.0,0.0,0,5.0,1,r=11;g=11;b=0,192.94331444260425,67.59876251220703,16.16313362121582,3581.552978515625,6036617.478965759,314.4522590917989,0.46107328242338724,0.3872602924896972
ID2391,2391,29,-1.0,30.429003408048384,18.377002058224235,11.0,0.0,0,5.0,1,r=11;g=11;b=0,167.6687912260175,63.30079650878906,19.976673126220703,2188.861083984375,5245853.471088409,247.93741766567828,0.4401810876991891,0.4133847309240352
ID2394,2394,30,-1.0,29.41700329470437,17.50300196033622,11.0,0.0,0,5.0,1,r=11;g=11;b=0,167.13411299098038,63.4398078918457,19.905569076538086,2188.861083984375,5229124.993148804,246.87125496673093,0.43858578094581735,0.4128034858469764
ID2271,2271,19,-1.0,38.065004263280485,26.88700301134434,9.0,0.0,0,5.0,1,r=11;g=11;b=0,147.00090740311273,55.33802795410156,13.11508846282959,2108.761474609375,4599217.389921188,243.44421793318443,0.37267759286474245,0.3278802702928231
ID2335,2335,24,-1.0,32.54500364504041,20.99900235188827,11.0,0.0,0,5.0,1,r=11;g=11;b=0,153.25352093448507,61.880191802978516,15.765369415283203,1629.0887451171875,4794842.909477234,220.77852952720275,0.38989575624107065,0.3894483781463995
ID2472,2472,36,-1.0,19.987002238544253,11.385001275120144,13.0,0.0,0,5.0,1,r=11;g=11;b=0,131.6446512235519,55.85551834106445,14.776710510253906,1493.5389404296875,4118766.2028312683,190.07642429735137,0.3642387500250026,0.36982879820119613
ID2089,2089,6,-1.0,45.14900505668857,38.20300427873648,8.0,0.0,0,5.0,1,r=11;g=11;b=0,175.01572471970042,53.71318817138672,11.68228816986084,3596.56103515625,5475716.979305267,329.4534662370748,0.4093895462258994,0.30861617763444477
ID2413,2413,31,-1.0,27.761003109232348,17.36500194488022,12.0,0.0,0,5.0,1,r=11;g=11;b=0,186.5723296110691,77.98560333251953,16.429533004760742,2188.861083984375,5837288.476541519,266.73259893484135,0.48869893712854096,0.45923570821910437
ID2222,2222,16,-1.0,57.13827912676,40.678640919644145,5.0,0.0,0,5.0,1,r=11;g=11;b=0,108.39947967661587,50.47782516479492,11.830456733703613,1610.815673828125,3391494.5206422806,162.117146232895,0.1705316077834535,0.19482737730575383
ID2479,2479,37,-1.0,22.655002537360286,13.225001481200167,12.0,0.0,0,5.0,1,r=11;g=11;b=0,137.63098654699917,54.22734069824219,14.776710510253906,2022.2635498046875,4306060.6760959625,223.20609689596665,0.344563616429701,0.3160299389094841
ID2161,2161,13,-1.0,50.16300561825663,41.88300469089653,5.0,0.0,0,5.0,1,r=11;g=11;b=0,158.3141222262263,57.34670639038086,11.68228816986084,3360.68798828125,4953173.942091942,282.9112114736489,0.3475498134421488,0.2886501091253337
ID2226,2226,17,-1.0,40.917004582704514,29.555003310160373,9.0,0.0,0,5.0,1,r=11;g=11;b=0,169.67178859019373,59.189022064208984,13.734905242919922,2200.33349609375,5308521.249621391,276.58788658691617,0.41946172997631515,0.36255603060141833
ID2356,2356,25,-1.0,27.117003037104343,21.873002449776276,11.0,0.0,0,5.0,1,r=11;g=11;b=0,171.3522957804166,71.2326431274414,15.765369415283203,2188.861083984375,5361099.278081894,247.4336409595432,0.4450319196330538,0.42655486396888953
ID2420,2420,32,-1.0,18.515002073680233,15.663001754256198,14.0,0.0,0,5.0,1,r=11;g=11;b=0,120.12301837992958,47.68596267700195,14.776710510253906,1521.79443359375,3758288.8760528564,190.44792066086515,0.3028968326553443,0.2932680155012723
ID2105,2105,8,-1.0,48.23100540187261,35.48900397476845,7.0,0.0,0,5.0,1,r=11;g=11;b=0,179.05668202675548,58.25213623046875,11.68228816986084,3596.56103515625,5602146.410571098,341.86163644587134,0.42137160142829,0.31054732288584364
ID2298,2298,21,-1.0,29.279003279248368,23.5750026404003,12.0,0.0,0,5.0,1,r=11;g=11;b=0,148.12707375804936,60.66388702392578,15.765369415283203,1629.0887451171875,4634451.756668091,212.5108353285893,0.3629381356052692,0.3712272269513533
ID2044,2044,3,-1.0,42.34300474241653,37.099004155088465,8.0,0.0,0,5.0,1,r=11;g=11;b=0,167.41190693433086,52.99753189086914,12.692951202392578,3596.56103515625,5237816.33225441,309.2179505835201,0.38860776904429545,0.30302853733880275
ID2172,2172,14,-1.0,48.875005474000616,40.963004587856524,5.0,0.0,0,5.0,1,r=11;g=11;b=0,172.29013327547577,58.10580825805664,11.68228816986084,3596.56103515625,5390441.39978981,317.88120051878536,0.3904356935085214,0.3043856429388366
ID2366,2366,26,-1.0,27.117003037104343,20.26300226945625,12.0,0.0,0,5.0,1,r=11;g=11;b=0,190.2331690064486,88.22801971435547,15.765369415283203,2188.861083984375,5951825.158704758,253.97561645118068,0.49599414618563226,0.4966733663486374
ID2179,2179,15,-1.0,51.61200578054465,42.64200477590454,6.0,1.0,1,5.0,1,r=11;g=11;b=0,123.86479924596671,57.03972244262695,22.019033432006836,2324.7685546875,3875357.97400856,185.65257216408,0.3086349180988467,0.3147048842008495
ID2371,2371,27,-1.0,25.231002825872316,19.113002140656242,12.0,1.0,1,5.0,1,r=11;g=11;b=0,195.19314144546752,65.88798522949219,20.738433837890625,2404.06298828125,6107007.816404343,305.3122342131611,0.4381866231441934,0.38957781047840395
ID2435,2435,33,-1.0,17.319001939728217,13.40900150180817,13.0,1.0,1,5.0,1,r=11;g=11;b=0,174.58446650880447,60.0087776184082,23.142215728759766,2816.61474609375,5462224.203660965,309.13352982607887,0.4215239523645846,0.334932706397445
ID2309,2309,22,-1.0,32.49900363988841,21.50500240856027,12.0,1.0,1,5.0,1,r=11;g=11;b=0,173.98213734420867,59.16147994995117,20.072256088256836,3312.84521484375,5443379.131088257,318.71931184362194,0.3809568007306638,0.30117707845919445
ID2063,2063,4,-1.0,44.82700502062456,34.707003887184435,7.0,1.0,1,5.0,1,r=11;g=11;b=0,193.653045665636,74.61233520507812,19.7359676361084,2916.14111328125,6058822.839740753,294.6354493832919,0.452667421636637,0.4096211493051496
ID2128,2128,10,-1.0,51.17500573160065,37.237004170544466,6.0,1.0,1,5.0,1,r=11;g=11;b=0,156.57591391729935,70.25138092041016,19.7359676361084,2324.7685546875,4898790.618730545,217.21133598136998,0.3822909606558308,0.39871908623671953
ID2191,2193,16,-1.0,59.747733964473476,40.14336813242087,7.0,1.0,1,5.0,1,r=11;g=11;b=0,86.42731336157803,53.193275451660156,26.280933380126953,654.4859619140625,2704051.353143692,81.0629121720429,0.15484830417644732,0.2859172246390624
ID2002,2002,0,-1.0,40.87100457755252,35.16700393870445,8.0,1.0,1,5.0,1,r=11;g=11;b=0,174.91723715045458,62.534847259521484,22.933061599731445,2916.14111328125,5472635.598726273,288.2529536495506,0.43063043588448374,0.3653138180533773
ID2389,2389,29,-1.0,30.06100336683238,18.055002022160224,11.0,1.0,1,5.0,1,r=11;g=11;b=0,213.1235517511646,68.65435028076172,21.634300231933594,3312.84521484375,6667996.563638687,347.9521482875095,0.4929245713727719,0.4044683283664761
ID2454,2454,35,-1.0,21.091002362192267,12.443001393616157,13.0,1.0,1,5.0,1,r=11;g=11;b=0,170.78837465236327,58.51190185546875,22.385425567626953,2330.994140625,5343455.877748489,297.8608951776664,0.35440439323239514,0.30007205588125657
ID2071,2071,5,-1.0,43.81500490728055,33.05100370171242,7.0,1.0,1,5.0,1,r=11;g=11;b=0,194.80448224979114,72.16123962402344,22.933061599731445,2916.14111328125,6094847.836149216,301.7904462994436,0.45837041709622517,0.4057627622594071
ID2459,2459,36,-1.0,19.297002161264246,10.557001182384132,14.0,1.0,1,5.0,1,r=11;g=11;b=0,170.16636446191606,58.93540954589844,23.142215728759766,2816.61474609375,5323995.044919968,308.555459842906,0.3770200292503049,0.30199144905815023
ID2140,2140,11,-1.0,52.50900588100866,38.75500434056048,6.0,1.0,1,5.0,1,r=11;g=11;b=0,141.70280236186196,71.371337890625,22.019033432006836,2324.7685546875,4433455.577495575,187.53092708068536,0.348318106643959,0.3904084584947807
ID2268,2268,19,-1.0,38.065004263280485,27.20900304740834,9.0,1.0,1,5.0,1,r=11;g=11;b=0,160.86927818478546,57.76721954345703,16.34034538269043,3039.279052734375,5033117.106567383,283.26035862648183,0.35884998093096276,0.29995680774867695
ID2396,2396,30,-1.0,29.555003310160373,16.261001821232206,11.0,1.0,1,5.0,1,r=11;g=11;b=0,179.34602752429745,54.53402328491211,26.09546661376953,2404.06298828125,5611199.163152695,292.65754378591396,0.4127676997652098,0.358093948684922
ID2142,2142,12,-1.0,53.291005968592664,39.85900446420851,6.0,1.0,1,5.0,1,r=11;g=11;b=0,139.6500848209953,70.62569427490234,22.019033432006836,2324.7685546875,4369232.203794479,185.7463459350228,0.3550401673771346,0.3939818734563299
ID2273,2273,20,-1.0,37.00700414478446,25.829002892848326,9.0,1.0,1,5.0,1,r=11;g=11;b=0,155.95576819242063,57.542144775390625,16.34034538269043,3039.279052734375,4879388.119436264,273.6829858637542,0.35024707570360913,0.2956275547241719
ID2338,2338,24,-1.0,31.395003516240397,20.493002295216257,12.0,1.0,1,5.0,1,r=11;g=11;b=0,195.70350764936015,66.46074676513672,21.634300231933594,3312.84521484375,6122975.643825531,329.6791603199429,0.44346955258605986,0.36474831144010783
ID2025,2025,1,-1.0,39.6750044436005,33.60300376353642,8.0,1.0,1,5.0,1,r=11;g=11;b=0,185.75762296476617,65.50684356689453,23.194385528564453,2916.14111328125,5811798.749698639,303.8323938332814,0.4513856999772905,0.3802835346223887
ID2091,2091,6,-1.0,46.621005221552586,37.55900420660848,8.0,1.0,1,5.0,1,r=11;g=11;b=0,158.0034571276471,67.69688415527344,19.7359676361084,2324.7685546875,4943454.163152695,231.4659815805214,0.35026927514015804,0.35415311914966774
ID2411,2411,31,-1.0,27.57700308862435,16.72100187275221,12.0,1.0,1,5.0,1,r=11;g=11;b=0,209.39434385432278,76.84078979492188,20.738433837890625,2404.06298828125,6551320.8361701965,307.23674687576136,0.48656248139814373,0.44614623669313397
